Mission_ID,Planet_Name,Distance_From_Earth,Crew_Size,Mission_Duration,Budget,Technology_Rating,Atmospheric_Composition,Surface_Terrain,Communication_Latency,Energy_Resources,Previous_Attempts,Alien_Contact_Probability,Critical_Failures,Success_Status
7e9662fa-ace5-46fc-ac02-e2307fffdf14,Xenon,233.22,26,337,445.4,4,Carbon dioxide-heavy,Volcanic,16.36,Solar,1,0.0,2,No
68971930-4535-426f-956b-e6174e7df372,Elysium,891.49,41,220,146.5,5,Carbon dioxide-heavy,Volcanic,11.17,Geothermal,4,0.5891825537566573,2,No
49e79289-50da-47f6-8b95-d00e8ee417ce,Xenon,231.5,15,161,51.13,5,Hydrogen-rich,Volcanic,0.75,Solar,4,0.4194845484531847,0,No
6ea42922-2210-42dc-ae51-870c0aa5f367,Elysium,586.02,45,129,158.64,5,Carbon dioxide-heavy,Oceanic,8.73,Solar,3,0.5993704908897174,2,Yes
0548f3cd-84aa-4186-9f24-a619a53ba1a5,Aurora,420.72,46,199,318.68,10,Methane-dominated,Icy,7.29,Geothermal,2,0.3907356173215324,0,Yes
8db705f7-0d70-4f5e-b409-1fda665008d5,Aurora,419.51,28,271,283.32,3,Methane-dominated,Volcanic,7.41,Chemical,2,0.7232935979193738,1,No
a773ec98-1627-4d5f-a923-db0e0ab6aafe,Aurora,199.29,33,265,342.91,7,Methane-dominated,Rocky,15.12,Chemical,0,0.15666132122108994,1,Yes
6d427b22-a1d6-4237-ad9c-adb4cd2e087e,Aurora,812.15,46,98,209.36,4,Carbon dioxide-heavy,Icy,5.8,Geothermal,0,0.22667347769419907,1,Yes
1652780b-08d3-40ab-8a23-e2c53b72f073,Aurora,622.51,33,295,,9,Hydrogen-rich,Icy,11.39,Chemical,1,1.0,0,Yes
63344a63-417f-469e-8de8-a5afc4f6b536,Elysium,787.64,20,323,490.44,9,Oxygen-rich,Icy,6.07,Geothermal,4,0.5372434488950054,1,No
2266ee57-33f1-4236-ae78-0773fade80e1,Elysium,914.88,10,51,470.13,4,Carbon dioxide-heavy,Icy,16.08,Geothermal,1,0.3382944472155961,0,No
dc4fe39f-bde3-41fa-90e8-805d2a01ff7e,Xenon,801.37,30,151,414.96,10,Carbon dioxide-heavy,Rocky,12.89,Nuclear,1,0.4913021388667416,2,Yes
761248b3-818e-4beb-bd02-cee0f763fc54,Elysium,628.26,10,246,,5,Carbon dioxide-heavy,Icy,16.14,Geothermal,3,0.7522275520659927,2,No
b6af2c91-b6d9-41aa-ae9f-2bf03b277b45,Elysium,105.04,16,44,72.79,3,Hydrogen-rich,Icy,8.33,Nuclear,4,0.34329185659303135,1,No
f5b285a4-3627-4b1c-b431-4b6bfd703b3c,Titanium,423.35,20,156,168.44,2,Oxygen-rich,Rocky,2.9,Nuclear,3,0.5547878685909134,2,No
e16cf8ef-8b10-45dc-a319-6802b113b58a,Xenon,763.93,48,250,225.3,6,Carbon dioxide-heavy,Oceanic,0.98,Solar,1,0.0,0,No
6664640c-f13c-42be-9e2e-f1baa57d781d,Aurora,56.58,13,116,299.91,3,Carbon dioxide-heavy,Volcanic,13.15,Chemical,0,0.682058262929743,2,Yes
5e01c5ba-7d7a-4082-a949-a868512f53b4,Aurora,113.06,17,186,364.81,9,Carbon dioxide-heavy,Volcanic,10.55,Nuclear,4,0.01174083406022524,1,Yes
1e42d644-b3fc-4e56-b83c-a34d89971dd1,Zarathustra,608.16,24,279,147.85,10,Oxygen-rich,Oceanic,5.01,Geothermal,3,0.34764607236536493,0,Yes
74477a6d-5a99-4567-bf3e-ac13e45d708d,Titanium,343.93,31,214,464.65,6,Oxygen-rich,Icy,13.0,Solar,3,0.7904013337002513,2,Yes
7a935fcb-1fe5-40d8-8117-0121b02f18e9,Aurora,502.38,18,347,198.22,1,Oxygen-rich,Icy,17.49,Nuclear,3,0.08732947429552329,0,Yes
4546af70-f2ee-402b-99f2-fa9ca13e7837,Titanium,133.12,39,298,499.8,1,Carbon dioxide-heavy,Volcanic,3.48,Chemical,0,0.3654828922776656,1,Yes
7a3d423f-bf4f-4bec-b28e-ed99456e5004,Elysium,118.87,24,260,246.53,8,Hydrogen-rich,Volcanic,19.46,Solar,3,0.7004831780205215,2,Yes
4903ac6d-8e7f-4d7d-8ceb-580499d60fcb,Titanium,885.58,26,35,391.89,4,Oxygen-rich,Rocky,14.85,Geothermal,4,0.353641377307763,0,Yes
134c98bf-5a89-4162-96ef-4bee1c3e952a,Xenon,912.31,24,43,222.29,8,Oxygen-rich,Icy,7.03,Geothermal,4,0.3357641520226205,0,Yes
9ec1aa28-d544-49eb-be10-d7ce2881c945,Aurora,670.43,27,301,226.83,2,Methane-dominated,Rocky,4.75,Chemical,1,0.12406872076691292,0,Yes
573cb4ea-b8ba-4857-bab2-8c7719dd1e54,Titanium,141.0,11,137,370.42,10,Carbon dioxide-heavy,Oceanic,12.58,Geothermal,1,0.048093140992588594,1,Yes
73ea7edc-8e2a-4126-8c27-396972b40924,Titanium,960.61,21,176,335.25,7,Carbon dioxide-heavy,Rocky,15.84,Geothermal,4,0.8701747945525551,1,Yes
d692210c-b0e4-4f17-a15a-d0c410bf19ea,Elysium,273.9,23,204,307.66,4,Methane-dominated,Oceanic,4.71,Nuclear,1,0.0,1,Yes
34314744-2b2e-4e57-8660-38f2b1b027e4,Elysium,636.89,20,237,247.09,4,Carbon dioxide-heavy,Rocky,8.07,Solar,3,0.4324607414731272,1,Yes
b6000366-68c3-42e7-bf62-540132c5ab44,Xenon,892.72,28,268,82.81,7,Oxygen-rich,Volcanic,11.79,Chemical,3,0.01848276407183421,1,Yes
8f7c28a5-0a71-4856-b3f1-0cf372e5454c,Elysium,632.74,42,351,491.42,4,Methane-dominated,Volcanic,12.9,Geothermal,3,0.12346907052072631,2,No
33e6e79b-9cf1-4fe8-978e-76920a6c8f51,Aurora,996.29,49,144,295.96,4,Oxygen-rich,Volcanic,1.66,Geothermal,2,0.6680865625918398,0,No
81f6d734-4eb3-4ce0-b672-95606b95e243,Aurora,563.95,48,270,89.55,1,Hydrogen-rich,Icy,6.63,Chemical,3,0.0876415902301857,1,Yes
42b8c95a-a2c2-4813-afa0-62bfc1ea2119,Xenon,500.26,36,32,418.11,3,Methane-dominated,Icy,12.97,Nuclear,1,1.0,0,Yes
1274d19f-091d-4fb3-9587-db7a5474eb1d,Elysium,90.47,27,34,167.49,2,Hydrogen-rich,Rocky,2.9,Solar,0,0.49552029749038173,1,Yes
dfa808c6-ac2f-40a8-9365-4cfd5540b79c,Zarathustra,223.04,21,211,346.35,3,Hydrogen-rich,Volcanic,19.35,Nuclear,0,0.3264955850034187,2,Yes
ad0f469a-44d6-4314-8b9f-e6e4a8262197,Zarathustra,583.52,21,85,100.74,2,Methane-dominated,Icy,10.52,Geothermal,2,0.7272918169892273,0,Yes
6a64362e-927a-4c8e-af9b-b616ce226220,Titanium,575.62,16,57,249.32,7,Oxygen-rich,Oceanic,1.29,Nuclear,2,0.6467384495693309,2,Yes
894746a5-f7e3-48ff-81f6-e7da5260e6c3,Titanium,195.94,46,83,120.99,2,Hydrogen-rich,Volcanic,4.91,Solar,3,0.6330018068524861,2,No
c245856b-a179-4b9e-a7f3-49747d18960d,Aurora,336.8,12,208,126.85,2,Carbon dioxide-heavy,Rocky,3.33,Nuclear,3,0.9574393641650069,0,Yes
80aaa619-25ee-42c7-adfe-cd33abb45e99,Xenon,58.61,23,224,210.88,7,Methane-dominated,Oceanic,7.73,Solar,4,0.5296712625608877,0,No
95b66e08-211b-4d19-8eff-f9664479e660,Elysium,12.02,22,205,370.16,3,Hydrogen-rich,Rocky,13.01,Nuclear,2,0.6710821988360517,1,Yes
e08bb20c-36ff-4c38-b3de-c5501b0a0e9b,Elysium,73.54,15,322,419.79,2,Methane-dominated,Rocky,18.13,Nuclear,1,0.8173668297877179,0,No
4dbb612c-18b8-425a-86e8-e569367b5c7a,Titanium,101.6,14,364,105.95,1,Oxygen-rich,Volcanic,7.06,Nuclear,1,0.2168047983876636,0,No
1a4132ce-ca12-4bcb-bb34-0ca923c2accd,Xenon,632.2,32,122,168.23,5,Carbon dioxide-heavy,Rocky,12.04,Geothermal,3,0.9639683658022791,1,No
f5af2bb2-00a9-449b-8b23-8c1106a130d6,Elysium,845.11,40,126,165.05,9,Methane-dominated,Rocky,8.6,Nuclear,1,0.7266717326619697,0,No
2d8fd62d-eb3d-4d8e-81a8-c49408c199b2,Elysium,672.65,6,230,366.85,2,Carbon dioxide-heavy,Icy,3.65,Geothermal,1,0.0640326937534233,0,No
42da7c49-b6cb-4beb-ae52-2def597e0725,Zarathustra,663.0,22,182,390.25,8,Hydrogen-rich,Rocky,10.54,Nuclear,4,0.858667789721681,0,No
af167617-f762-4993-bcdc-2aeb875e3cb7,Elysium,828.03,30,59,474.69,2,Oxygen-rich,Rocky,2.24,Chemical,2,0.4394378196667855,0,No
c359a37d-f539-42d0-9531-60d7202a6b28,Zarathustra,73.07,37,248,418.93,9,Carbon dioxide-heavy,Volcanic,17.15,Nuclear,0,0.5381286540657331,2,Yes
95bbd58d-6d60-4586-8d08-556f73877d07,Aurora,895.1,37,231,488.03,1,Methane-dominated,Rocky,7.65,Solar,1,0.4957792140656437,1,No
b561d78d-d915-4368-8b4a-de0ee4caa45f,Zarathustra,198.41,39,329,380.19,7,Oxygen-rich,Icy,14.9,Geothermal,4,0.1625033754057772,1,Yes
e8376d62-0c63-4da8-a56e-1bed88b4da8e,Zarathustra,333.35,20,30,483.69,5,Methane-dominated,Volcanic,12.03,Geothermal,1,0.8043431174786542,1,Yes
3b48250d-003c-4c58-b6b3-f7ce82fe1d4d,Xenon,445.72,28,72,443.47,3,Oxygen-rich,Rocky,4.96,Nuclear,1,0.7359171339806407,2,No
9dc561a8-d7c0-4dd6-a66f-b16e7e826333,Elysium,105.56,39,349,188.33,3,Hydrogen-rich,Icy,9.96,Nuclear,3,1.0,1,No
ccaa7b8f-60f1-41fe-99c4-b1edac37fbd6,Aurora,844.21,37,273,359.57,5,Hydrogen-rich,Volcanic,16.17,Nuclear,1,0.1289167761985332,0,No
f8090daa-48c4-47e6-8a64-6d4e079ce6b6,Zarathustra,78.18,6,219,174.05,8,Oxygen-rich,Rocky,15.89,Geothermal,2,0.18940261951523985,1,Yes
db0a27f7-f2ff-44c0-aae8-9f99e3b038b1,Elysium,961.59,12,292,237.36,6,Methane-dominated,Volcanic,3.11,Chemical,2,0.07498073336058991,2,No
60a09852-ea62-4db7-978d-ce6323459093,Aurora,729.14,7,244,465.02,9,Methane-dominated,Rocky,1.36,Geothermal,3,0.33689176220959693,0,Yes
05ec9d8a-c660-4feb-9785-2c7897e802f4,Xenon,908.67,33,214,173.5,1,Hydrogen-rich,Icy,11.42,Solar,1,0.5275086107393236,1,No
233d8f09-2e39-4fec-a5c6-8a1444dd1c78,Elysium,355.95,14,258,400.8,8,Methane-dominated,Oceanic,9.44,Geothermal,3,0.8783143982926241,1,No
8636bc5f-331d-468b-b4fa-4cabb6cb19f9,Xenon,970.67,36,210,253.18,10,Methane-dominated,Rocky,2.87,Solar,3,0.23949245343632158,2,No
cb65b7ab-67f0-494e-9c9d-b9bd5a5f8dea,Xenon,885.8,13,339,303.77,8,Oxygen-rich,Oceanic,14.55,Solar,1,0.06319499859749131,0,Yes
15cd0358-ec8f-45a4-9797-2777eea0d1ce,Elysium,624.0,11,227,169.31,6,Hydrogen-rich,Oceanic,8.46,Geothermal,1,0.11294578156257618,2,No
f2145550-8a76-4b32-b40d-02914a43ba31,Elysium,7768.400000000001,27,139,86.91,8,Hydrogen-rich,Volcanic,8.35,Nuclear,2,0.6288507541855699,0,Yes
54a58612-64e2-4e07-b589-a16e39b0ac35,Xenon,871.79,41,111,184.93,8,Methane-dominated,Volcanic,17.62,Geothermal,4,0.5510666901944545,2,No
1459a416-6cc0-4951-b9f5-ba57d3f774ab,Zarathustra,209.45,44,32,284.88,10,Methane-dominated,Volcanic,17.82,Geothermal,0,0.0,0,No
4541cd96-1b41-4d23-97b6-1010bae96c8a,Titanium,166.25,7,364,345.56,8,Hydrogen-rich,Volcanic,5.92,Chemical,1,0.0,0,Yes
ca3e5eec-12f1-4560-a82d-edb3f42ccf59,Titanium,785.69,16,345,415.13,6,Oxygen-rich,Oceanic,5.47,Chemical,1,0.19853323562642466,2,Yes
20350f44-ad34-4f8b-882b-40c21c9ef94b,Aurora,914.11,19,223,393.09,9,Hydrogen-rich,Icy,7.91,Chemical,1,0.765576469751623,2,No
b7add0e9-0573-4434-8259-8900fe05236b,Zarathustra,969.59,39,333,431.24,4,Hydrogen-rich,Volcanic,10.61,Nuclear,3,0.43903371717848744,2,No
8035c0f6-b93b-4f5c-912b-0c8064d42519,Zarathustra,782.04,11,267,362.58,7,Methane-dominated,Volcanic,10.74,Nuclear,4,0.7258766167439821,0,Yes
ac7f4e80-ce5e-403b-8ef0-4d1250fbad70,Aurora,539.15,5,308,439.57,6,Methane-dominated,Rocky,11.45,Nuclear,3,0.6698150847995534,0,No
881274c2-6d94-4256-895d-aa5a7771c88b,Elysium,823.4,13,346,346.99,4,Oxygen-rich,Icy,15.09,Chemical,1,0.8607568113832594,1,Yes
d254fdc0-8563-4c90-914a-a8abac589740,Xenon,115.96,6,350,57.98,7,Methane-dominated,Oceanic,7.0,Chemical,0,0.6853328961756555,2,Yes
f86c4cde-b028-4175-accc-8b32a655d0c9,Aurora,38.79,29,34,71.4,8,Hydrogen-rich,Oceanic,3.45,Chemical,0,0.1723266458643217,1,Yes
60014b68-4011-4428-a5f0-cac0697050a5,Xenon,698.3,40,119,143.56,9,Hydrogen-rich,Icy,0.15,Geothermal,2,0.7158894364620563,1,Yes
1dd6bce9-69a4-40c5-a3d5-daba7c435cfd,Xenon,471.16,31,233,410.0,5,Oxygen-rich,Rocky,1.28,Solar,2,0.0,0,Yes
14eeab4b-4de3-45dd-84b6-e4bfadca9e83,Titanium,879.57,27,77,170.24,3,Carbon dioxide-heavy,Icy,15.8,Chemical,1,0.6606633753056058,1,No
fdd7dc41-717c-483e-9ddc-17470c767f1a,Elysium,921.67,23,362,96.39,10,Hydrogen-rich,Volcanic,17.95,Chemical,2,1.0,1,Yes
7155977b-cb70-423d-aeab-00aea80d7da0,Zarathustra,995.6,36,112,207.73,1,Carbon dioxide-heavy,Rocky,2.04,Nuclear,4,0.5620601209916857,0,Yes
7956bc4f-21a0-4769-b570-6c9145d66109,Aurora,104.52,32,255,132.8,1,Oxygen-rich,Volcanic,19.39,Nuclear,4,0.19066511149900045,0,Yes
d2e2e7c6-8b17-419a-96e7-70914e33b447,Zarathustra,797.14,23,344,57.08,6,Oxygen-rich,Volcanic,0.44,Chemical,2,0.9224660562644144,2,No
fc3c4fa4-c18f-4677-b13b-712bf515a4b1,Xenon,19.96,49,151,75.85,10,Hydrogen-rich,Icy,5.1,Chemical,3,0.5647823205369479,0,No
0840059d-056d-40ff-b01d-b9e0fdfdbfd7,Zarathustra,616.54,44,208,322.46,9,Methane-dominated,Rocky,6.21,Geothermal,0,0.7664875729701923,1,Yes
4a35163d-cbca-4c24-a7b1-809a7a6d0cce,Aurora,250.23,33,255,238.91,1,Methane-dominated,Volcanic,4.84,Nuclear,0,0.4826327412841624,2,Yes
4a602c70-aba9-409f-9398-6c8536378616,Xenon,598.09,39,110,118.54,9,Methane-dominated,Volcanic,3.71,Solar,3,0.4071727552600565,1,Yes
4cf41747-e25e-4eb5-afd7-4ee7934b9af9,Zarathustra,160.89,31,172,308.84,4,Methane-dominated,Oceanic,10.84,Geothermal,4,0.15485324259076025,0,No
7f16cc21-1cb1-4ac9-a9d9-b0c0a1904ada,Titanium,28.63,34,362,264.05,5,Carbon dioxide-heavy,Rocky,2.39,Geothermal,3,0.8694144428923033,0,No
b7ce7369-ff9f-430f-b272-fa4f5ce48684,Elysium,5156.1,16,340,334.41,9,Oxygen-rich,Rocky,10.6,Nuclear,0,0.5263126191781085,0,No
6207d464-fadc-43d5-8cf0-98fc22cbe215,Elysium,44.62,7,62,479.98,5,Oxygen-rich,Volcanic,1.47,Chemical,3,0.2740504063494094,0,No
3c909f71-02a7-4f0a-8d93-12e926d0e7e3,Aurora,614.32,38,152,,9,Methane-dominated,Rocky,14.23,Nuclear,0,0.5960546397460883,2,No
c1743e36-0200-47d0-8503-3847f0c350a9,Zarathustra,522.55,10,43,169.88,7,Hydrogen-rich,Volcanic,14.56,Nuclear,4,0.46042862849179056,2,No
a7d67d38-dd5a-4110-af86-977ab0b0fe7b,Aurora,362.6,27,310,77.56,7,Methane-dominated,Oceanic,6.94,Chemical,2,0.18736921523508765,0,Yes
c4aa3c92-783f-45cf-a826-b16576c8e0bf,Elysium,546.32,15,41,443.87,9,Hydrogen-rich,Volcanic,3.26,Chemical,4,0.39149133179026313,0,Yes
ca21d873-cfbc-4c4e-8776-89d6d9d5e4cd,Aurora,764.12,21,41,403.99,9,Methane-dominated,Icy,14.8,Nuclear,0,0.598035674618662,2,No
206f1e03-7d9d-420f-bed3-6c8ed7852c3e,Zarathustra,118.51,12,309,488.76,10,Carbon dioxide-heavy,Oceanic,0.81,Geothermal,1,0.13309850606245488,0,No
770aca0d-e9ba-4e6a-ba28-787cf5f24cd0,Titanium,692.23,11,135,394.68,1,Methane-dominated,Rocky,12.84,Solar,3,0.6435062212351529,1,Yes
3609d006-dc75-4b91-a7f6-81c8ba719b82,Titanium,694.79,18,315,475.77,5,Carbon dioxide-heavy,Oceanic,7.56,Nuclear,1,0.8526600871468711,2,Yes
0d90fa0f-fc34-4458-a44b-5daa131baab8,Titanium,473.35,21,275,271.39,8,,Icy,9.01,Geothermal,3,0.2988273479012612,1,No
92c7e501-94ff-4a32-a7bb-44ec5e15bbc1,Elysium,656.73,29,157,430.85,9,Methane-dominated,Oceanic,4.47,Chemical,1,0.7759487724150897,0,Yes
ba442144-893c-40aa-9881-4eb37e784c34,Zarathustra,19.71,12,268,265.71,2,Carbon dioxide-heavy,Volcanic,11.71,Chemical,1,0.0,1,No
72b22426-81ed-4ff2-89c8-95dfb7d7bfb3,Zarathustra,792.92,25,191,187.21,10,Methane-dominated,Oceanic,3.55,Nuclear,0,0.060595057878165465,0,No
556795b0-ffd2-41c0-99e9-6c269b5124ea,Xenon,637.54,45,252,218.96,10,Methane-dominated,Oceanic,13.51,Geothermal,3,0.9564192297861029,2,No
1f5cb03f-ff1d-4e63-abf6-fed826ec972f,Xenon,609.69,22,274,298.86,5,Carbon dioxide-heavy,Rocky,11.32,Chemical,1,0.712707123671684,2,No
2aa51362-d526-46cd-92fa-dec6819ad6a3,Titanium,653.8,12,158,280.86,10,Carbon dioxide-heavy,Rocky,18.43,Geothermal,0,0.801770802119945,2,No
55ab9117-6fc0-49cd-845c-3ff3f70861a2,Elysium,2154.3,43,233,473.6,6,Methane-dominated,Icy,19.93,Geothermal,4,0.0,0,Yes
a76589f2-8dad-4255-a723-2c141e161275,Titanium,620.92,28,292,161.22,2,Oxygen-rich,Icy,6.27,Nuclear,2,0.47358200798679834,1,No
c72a8a7c-8ff0-4ec5-b20a-4bce0f8da537,Elysium,880.61,39,351,,5,Hydrogen-rich,Volcanic,13.63,Chemical,0,0.0,1,No
c4a79fab-e476-4ea8-851b-7738518e4ba6,Aurora,503.05,12,196,114.19,3,Hydrogen-rich,Icy,12.4,Geothermal,4,0.1822109071259265,1,Yes
a2274747-bfea-4f2e-be54-81a10bbc4701,Titanium,946.93,25,294,166.81,6,Methane-dominated,Icy,13.53,Nuclear,4,0.9172440743999336,2,Yes
aaf48e31-8d70-4b4a-8155-7813c464bbdc,Elysium,782.67,10,322,436.01,6,Carbon dioxide-heavy,Oceanic,4.97,Solar,3,0.32302027059026833,1,No
317f869c-0d1d-49f1-822d-7ae55da3ac3e,Titanium,445.26,29,73,110.71,9,Methane-dominated,Volcanic,6.75,Nuclear,3,0.48275061788866447,1,No
3f398b3b-af13-4e0b-9c03-77c2e4333e55,Aurora,880.44,20,114,466.0,1,Carbon dioxide-heavy,Volcanic,16.84,Nuclear,3,0.6478344238075413,0,No
032b9650-7e8a-441a-8dbd-881b943712d9,Zarathustra,879.97,13,195,60.46,9,Methane-dominated,Volcanic,17.56,Geothermal,2,0.5299640854169589,1,No
1247da80-7d7e-4f9b-b9f5-eb02e23c3f5c,Titanium,396.58,42,363,67.22,1,Hydrogen-rich,Icy,5.15,Geothermal,0,0.47428435730440466,1,No
5c8e06fe-ac1c-4154-8ff8-f15462825469,Titanium,401.83,24,217,285.87,9,Methane-dominated,Icy,2.17,Nuclear,2,0.3959155958756983,2,No
41fc7e42-522a-4e34-bc72-66a1de4071ca,Aurora,156.52,27,341,214.79,7,Oxygen-rich,Oceanic,2.12,Solar,1,1.0,1,Yes
5051a58b-afb0-42ca-8c8a-572c5d5a4aa6,Zarathustra,759.69,45,194,150.87,4,Methane-dominated,Oceanic,2.85,Chemical,3,0.20391522350654667,1,No
a470ddaf-3d98-4612-a123-ce265340b080,Xenon,404.93,48,349,50.57,6,Carbon dioxide-heavy,Oceanic,9.68,Solar,1,0.18903295457238137,1,Yes
cd4f417f-c2af-4ed0-a2e5-b9be57f977e8,Aurora,526.21,49,40,179.0,4,Carbon dioxide-heavy,Volcanic,11.67,Nuclear,2,0.5335948945687442,2,Yes
e438f487-a868-4026-aaf9-7d0d9636da91,Zarathustra,210.43,38,209,487.74,4,Oxygen-rich,Volcanic,17.7,Nuclear,0,0.10187162410937575,0,Yes
538edc57-0a12-42f9-91be-d7e779272773,Elysium,792.79,17,250,199.34,8,Hydrogen-rich,Icy,2.56,Nuclear,0,0.3160805941639636,0,No
d25505b8-30f7-443c-9180-0a1d9555e94d,Titanium,348.38,18,259,52.1,5,Hydrogen-rich,Rocky,15.85,Nuclear,2,0.47397293203197266,0,Yes
9b0b67d0-aea0-4900-a355-1a13b1ab83ec,Titanium,789.97,45,316,144.12,9,Methane-dominated,Oceanic,7.04,Solar,0,0.2098061236179175,1,Yes
f385b792-b19c-4f8e-9ca4-a672d08bf9a5,Zarathustra,902.21,33,352,94.02,10,Methane-dominated,Rocky,8.66,Solar,2,0.8009547889782223,2,Yes
9f8bb319-9daf-4cf7-b4ea-7ac3c52c4bf5,Aurora,457.43,29,154,106.06,9,Carbon dioxide-heavy,Icy,13.21,Solar,0,0.0752761213439677,0,Yes
a0612bc8-605a-48d6-b487-e6f5dea47b3a,Xenon,331.79,37,121,162.55,10,Oxygen-rich,Rocky,3.11,Geothermal,1,0.09601648528550741,0,Yes
